             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01   -2.6250000000E+04   -2.1875000000E+04    0.0000000000E+00   -2.4601763163E-04    1.7628469487E-03    2.8386194158E-03    6.1864763398E-02   -7.2699073373E-02    2.8386194158E-03   -5.8166735692E-02    7.4078592786E-02    2.8386194158E-03    9.8352920472E-05    1.9176647443E-03    2.8386194158E-03
    1.0000000000E+01   -2.1875000000E+04   -2.1875000000E+04    0.0000000000E+00    2.8245414145E-03    1.9916366043E-03    2.8377736706E-03    6.1870755228E-02   -7.0483392995E-02    2.8377736706E-03   -6.3894289730E-02    7.3989966346E-02    2.8377736706E-03    6.8037742941E-04   -3.4394534030E-03    2.8377736706E-03
    1.0000000000E+01   -1.7500000000E+04   -2.1875000000E+04    0.0000000000E+00   -1.9721480696E-03   -4.1013553297E-03    2.8468946762E-03    6.1211357051E-02   -7.1647024873E-02    2.8468946762E-03   -5.9554760984E-02    7.4918066934E-02    2.8468946762E-03   -5.1145643716E-04    1.7490847545E-03    2.8468946762E-03
    1.0000000000E+01   -1.3125000000E+04   -2.1875000000E+04    0.0000000000E+00    3.6593766570E-03    2.5022710765E-04    2.9434521065E-03    6.2084109428E-02   -7.2562727345E-02    2.9434521065E-03   -6.6488338310E-02    7.4249256363E-02    2.9434521065E-03   -1.9166042826E-04    2.0147250557E-03    2.9434521065E-03
    1.0000000000E+01   -8.7500000000E+03   -2.1875000000E+04    0.0000000000E+00    1.3740479664E-03    1.6416223882E-03    2.9182451027E-03    6.4392873718E-02   -7.2795731273E-02    2.9182451027E-03   -6.6679396539E-02    7.0604293584E-02    2.9182451027E-03   -2.6320205086E-03   -9.7499276734E-04    2.9182451027E-03
    1.0000000000E+01   -4.3750000000E+03   -2.1875000000E+04    0.0000000000E+00    4.8014428546E-03   -1.0086384570E-03    2.8377958998E-03    6.2808236354E-02   -7.4449224247E-02    2.8377958998E-03   -6.4532400063E-02    7.3199436628E-02    2.8377958998E-03   -1.4720659931E-04   -1.6334756692E-03    2.8377958998E-03
    1.0000000000E+01    0.0000000000E+00   -2.1875000000E+04    0.0000000000E+00    1.3071310234E-03   -2.0770542024E-03    2.8383160103E-03    6.3462359190E-02   -7.0857096774E-02    2.8383160103E-03   -6.0442949416E-02    7.2760307774E-02    2.8383160103E-03   -3.8020028362E-03   -4.1504069708E-04    2.8383160103E-03
    1.0000000000E+01    4.3750000000E+03   -2.1875000000E+04    0.0000000000E+00    3.2762788367E-03    5.1069459920E-03    2.8386140589E-03    6.4611041768E-02   -7.1566221424E-02    2.8386140589E-03   -6.0851098965E-02    7.1638117471E-02    2.8386140589E-03   -1.0710011088E-03    1.7419302502E-03    2.8386140589E-03
    1.0000000000E+01    8.7500000000E+03   -2.1875000000E+04    0.0000000000E+00    3.4805441008E-03    2.4186021838E-04    2.8385917830E-03    6.5374222238E-02   -6.8172117134E-02    2.8385917830E-03   -6.4218364704E-02    7.4651915219E-02    2.8385917830E-03    3.7841122801E-03    2.9837327889E-04    2.8385917830E-03
    1.0000000000E+01    1.3125000000E+04   -2.1875000000E+04    0.0000000000E+00   -3.4251198707E-04   -1.0326900056E-03    2.8385946154E-03    6.4542826431E-02   -6.9842390874E-02    2.8385946154E-03   -6.2031295182E-02    7.0649330296E-02    2.8385946154E-03    9.8396677366E-04    8.3559528513E-04    2.8385946154E-03
